	Hunmong	mongeum
疇	이라ᇰ〮	듀
畎	고라ᇰ	견
畝	이라ᇰ	모
芍	샤〮약	샥〮
藥	샤〯약〮	약〮
薔	쟈ᇰ미	쟈ᇰ
薇	쟈ᇰ밋	미
葵	규홧	규
梅	ᄆᆡ홧	ᄆᆡ
𧃐	텩〮툑〮	텩〮
䕽	텩〮툑〮	툑〮
蓮	련	련
荷	련	하
芙	년곳	부
蕖	련곳	거
槿	무구ᇰ화	근
蕣	무구ᇰ화	슌〯
梔	지짓	지
菊	구〮홧	국〮
芝	지촛〮	지
蘭	란촛〮	란
篁	대〮	화ᇰ
竹	대〮	듁
莞	요햐ᇰ	관
蓀	부들〮	손
菖	챠ᇰ포	챠ᇰ
蒲	챵폿	포
薍	달〯	란〯
荻	달〯	뎍〮
蒹	달〯	겸
萑	달〯	환
菼	달〮	담
葭	ᄀᆞᆯ〮	가
葦	ᄀᆞᆯ〮	위
蘆	ᄀᆞᆯ〮	로
𦶀	달〯	오
蓲	달〯	구
芭	반쵸	파
蕉	반쵸	쵸
菟	새〯ᅀᅡᆷ〮	토〮
蕬	새〯ᅀᅡᆷ〮	ᄉᆞ
瓠	죠로ᇰ	호
𤬛	죠로ᇰ	로
莓	잇	ᄆᆡ
苔	잇	ᄐᆡ
藫	잇	담
蘚	잇	션〯
葎	한〯삼〮	률〮
葈	돗〮고마리	시
芄	새박〯	환
薊	조바ᇰ이〮	계
苧	모시	뎌〯
麻	삼〮	마
檾	어〮저〮귀〮	겨ᇰ〯
葛	츩〮	갈〮
𦸈	하ᄂᆞᆯ〮ᄃᆞ래〮	괄
𧁾	하ᄂᆞᆯᄃᆞ래〯	루
薛	담〮쟈ᇰ이〮	벽〮
荔	담〮쟈ᇰ이〮	례〮
茺	눈비얏〮	츄ᇰ
蔚	눈비얏〮	울〮
萑	눈비얏〮	츄
蓷	눈비얏〮	퇴
蘩	ᄡᅮᆨ〮	번
艾	ᄡᅮᆨ〮	애〯
蒿	다복〮ᄡᅮᆨ〮	호
蓬	다복〮ᄡᅮᆨ〮	보ᇰ
菅	골〯	관
茅	ᄠᅱ〮	모
荑	ᄲᅵ〮유〮기〮	뎨
𧀰	솔〯옷〮	뎨
蒨	곡도숑〮	쳔〯
萱	넘ᄂᆞᄆᆞᆯ	훤
藍	족	남
葒	료〯화〮	호ᇰ
稂	ᄀᆞ랏	라ᇰ
莠	ᄀᆞ랏	유〯
稊	ᄀᆞ랏	뎨
稗	ᄀᆞ랏	패〯
薸	머구릐〮밥〮	표
萍	머구릐밥	펴ᇰ
藻	ᄆᆞᆯ〮	조〯
蘋	머구릐밥〮	빈
梧	머귀〮	오
桐	머귀〮	도ᇰ
楊	버들〮	야ᇰ
柳	버들〮	류〮
檜	젓〮나모	회〯
栢	즉〯ᄇᆡᆨ〮	ᄇᆡᆨ〮
桂	계〯피	계〯
椿	튜ᇰ나모	츈
楓	싣나모	푸ᇰ
桑	ᄲᅩᇰ나모	사ᇰ
檿	묏〮ᄲᅩᇰ	염
柘	묏〯ᄲᅩᇰ	쟈〯
檉	갯버들	뎌ᇰ
枳	ᄐᆡᆼ〮ᄌᆞ〮	기〯
荊	가ᄉᆡ〮	혀ᇰ
棘	가ᄉᆡ〮	극〮
樗	개듀ᇰ나모	뎌
㯃	옷나모	칠〮
枌	느릅〮나모	분
楡	느릅나모	유
樺	봇〮	화〯
椵	피〮나모	단〯
槐	회홧	괴
蘗	화ᇰ벽피	벽〮
楮	닥	뎌〯
構	닥	구〯
榧	비〯ᄌᆞᆺ〮	비〯
槵	모〮관쥬	환〯
槲	소리ᄎᆞᆷ〮나모	곡
栩	가랍나모	우〯
柞	가랍나모	작〮
櫟	덥갈〮나모	륵
櫯	다〯믁〮	소
松	솔〮	쇼ᇰ
籐	드ᇱ	드ᇰ
梤	므프레	ᄌᆞᆷ
㮋	산ᄆᆡ〯ᄌᆞ〮	욱〮
樲	싄대〮초〮	ᅀᅵ〯
梓	ᄀᆞ〮래나모	ᄌᆡ〯
楸	ᄀᆞ〮래〮	츄
李	외엿〮	니〯
㮏	멋	내〯
桃	복셩화	도
楙	모〯괏〮	무〯
梨	ᄇᆡ	리
栗	밤〯	률〮
檎	니ᇰ그ᇝ	금
榴	셕늇〮	류
榛	개옴	진
棗	대〯초〮	조〯
櫻	이ᄉᆞ〮랏	ᄋᆡᆼ
杏	ᄉᆞᆯ고〮	ᄒᆡᇰ〯
芧	도토〮리〯	셔〯
橡	도토〮리〯	샤ᇰ〮
栭	도토〮리〯	ᅀᅵ
梂	당아리〮	구
榠	며ᇰ〯쟛〮	며ᇰ
𣙁	며ᇰ〯쟛〮	쟈
棠	아가외〮	다ᇰ
棣	아가외〮	톄〯
柑	감ᄌᆞᆺ〮	감
柚	유〮ᄌᆞᆺ〮	유
橘	굵〮	귤〮
橙	효근〮귨〮	드ᇰ
椒	고쵸	쵸
㮕	ᄃᆞ래	ᅀᅧᆫ
梬	고〮욤〯	비ᇰ〯
柿	감〯	시〯
芡	가ᄉᆡ〮렰	감〯
䓈	기ᄉᆡ〮련	역〮
芰	말왐〯	기〯
菱	말왐〯	르ᇰ
葡	멀위	포
萄	멀위	도
㰋	큰림금	빈
𪳪	큰림금	파
苺	ᄠᅡᆯ〮기	ᄆᆡ
葚	오ᄃᆡ〮	심
枏	ᄆᆡ실〮	ᅀᅧᆷ
菂	녀ᇇ밤〯	뎍
麳	보리	ᄅᆡ
麰	보리	모
蕎	모밀	교
麥	밀〮	ᄆᆡᆨ〮
𪎭	기자ᇰ	마
穄	기자ᇰ	졔〯
黍	기자ᇰ	셔〯
稷	피〮	직〮
粳	뫼〮ᄡᆞᆯ〮	겨ᇰ
糯	ᄎᆞ〮ᄡᆞᆯ〮	나〯
秈	뫼ᄡᆞᆯ〮	션
秫	ᄎᆞᆯ〮기자ᇰ	튤〮
稻	벼〮	도
梁	ᄉᆡᇰ도ᇰ〮ᄎᆞᆯ〮	랴ᇰ
𪐄	피〮	패〯
粟	조	속〮
薏	율믜	의〯
苡	율믜	이〮
荏	듧ᄭᅢ〮	ᅀᅵᆷ〯
𧰏	변두〮	변
豌	ᄎᆞᆯ〮코ᇰ	완
豇	과ᇰ쟈ᇰ이〮	가ᇰ
荳	ᄑᆞᆺ〮	두〮
菽	코ᇰ	슉〮
茄	가지	가
苽	외	과
葱	파	초ᇰ
蒜	마ᄂᆞᆯ	숸
韮	염교	구
薤	부ᄎᆡ	혜
蕺	멸	즙
荀	듁슌	슌
蔘	더덕	ᄉᆞᆷ
𦬸	삽듀	튤
藜	도ᄐᆞ랏	례
莧	비를	현
䓴	버슷	ᅀᅧᆫ
栮	버슷	ᅀᅵ
蕈	버슷	심
菌	버슷	균
䓀	도랏	길
莄	도랏	겨ᇰ
芫	고ᄉᆡ	원
荽	고ᄉᆡ	슈
匏	박	포
蓼	엿귀	료
茴	회햐ᇰ	회
芹	미나리	근
蘿	댓무ᅀᅮ	라
蔔	댓무ᅀᅮ	복
蔓	쉿무ᅀᅮ	만
菁	쉿무ᅀᅮ	쳐ᇰ
菘	ᄇᆡᄎᆡ	쇼ᇰ
薺	나ᅀᅵ	졔
芋	토란	우
蓴	슌	쓘
苜	게유목	목
蓿	게유목	슉
薯	마	셔
蕷	마	여
